a,mass ratio,eccentricity,impactor,b,status
wide,equal mass,0,120.0,2.4,swapped
very wide,3x mass,0,290.0,1.0,disrupted
wide,10x mass,0,50.0,6.0,bound
tight,equal mass,0.4,250.0,3.0,swapped
wide,equal mass,0,250.0,6.0,bound
very wide,equal mass,0.2,270.0,3.0,disrupted
wide,equal mass,0,170.0,4.8,bound
wide,equal mass,0,210.0,7.8,bound
very wide,equal mass,0.2,190.0,8.0,bound
very wide,3x mass,0,130.0,5.0,bound
wide,10x mass,0,110.0,2.0,swapped
wide,equal mass,0,170.0,6.4,bound
tight,equal mass,0,130.0,6.0,bound
wide,equal mass,0,400.0,7.4,bound
wide,equal mass,0,110.0,2.0,collision
tight,10x mass,0,130.0,2.0,swapped
tight,3x mass,0,150.0,6.0,bound
wide,equal mass,0,30.0,7.4,bound
wide,equal mass,0,220.0,5.4,bound
wide,equal mass,0,200.0,2.0,bound
wide,equal mass,0,310.0,5.8,bound
tight,equal mass,0,270.0,7.0,bound
wide,equal mass,0,330.0,5.6,swapped
wide,equal mass,0,50.0,4.0,bound
very wide,10x mass,0,290.0,3.0,disrupted
very wide,3x mass,0,10.0,7.0,bound
wide,equal mass,0,140.0,1.8,swapped
wide,equal mass,0,130.0,5.2,bound
wide,equal mass,0,390.0,2.6,bound
wide,equal mass,0,310.0,5.0,collision
wide,equal mass,0,290.0,3.8,swapped
tight,equal mass,0.2,130.0,8.0,bound
wide,equal mass,0,400.0,7.2,bound
wide,equal mass,0,20.0,6.0,bound
wide,equal mass,0,380.0,2.4,swapped
wide,equal mass,0,170.0,2.0,swapped
tight,equal mass,0.4,270.0,6.0,bound
wide,equal mass,0,320.0,8.0,bound
wide,equal mass,0,120.0,4.2,bound
wide,equal mass,0,290.0,7.0,bound
wide,equal mass,0,210.0,7.2,bound
wide,equal mass,0,390.0,4.4,swapped
wide,equal mass,0,370.0,2.2,disrupted
wide,equal mass,0,90.0,5.6,bound
wide,equal mass,0,330.0,3.8,swapped
wide,equal mass,0,140.0,3.8,bound
tight,equal mass,0,270.0,6.0,bound
wide,equal mass,0,300.0,4.8,disrupted
wide,equal mass,0,350.0,1.0,swapped
wide,equal mass,0,120.0,3.0,swapped
wide,equal mass,0,370.0,1.8,swapped
tight,equal mass,0.4,30.0,4.0,bound
wide,equal mass,0,60.0,3.4,bound
tight,equal mass,0,30.0,4.0,bound
tight,3x mass,0,250.0,8.0,bound
wide,equal mass,0,130.0,7.0,bound
very wide,equal mass,0.2,170.0,5.0,bound
tight,equal mass,0.2,50.0,2.0,bound
tight,equal mass,0.4,130.0,8.0,bound
wide,equal mass,0,330.0,4.0,swapped
wide,equal mass,0,20.0,4.8,bound
wide,equal mass,0,50.0,4.6,bound
tight,equal mass,0.2,170.0,2.0,bound
very wide,equal mass,0,190.0,2.0,disrupted
very wide,3x mass,0,270.0,1.0,swapped
wide,equal mass,0,60.0,4.4,bound
very wide,10x mass,0,290.0,5.0,disrupted
